item_id,source,source_question_id,question_uid,question_text,answer_options,focal_answer,direction_note,value_construct,paired_event_ids,y0,y1,n_years
gallup_1042,gallup,1042,gallup:4:1042,"In general, do you feel that the laws covering the sale of firearms should be made more strict, less strict, or kept as they are now?",More strict|Less strict|Kept as they are now,More strict,Modern gun-law item (2001-2025).,order_security_and_punishment,US-1993-BRADY|US-2022-BIPARTISAN-SAFER-COMMUNITIES,2001,2025,25
gss_prayer,gss,prayer,gss:prayer,The United States Supreme Court has ruled that no state or local government may require the reading of the Lord's Prayer or Bible verses in public schools. Do you approve or disapprove of the court ruling?,Approve|Disapprove,Disapprove,Disapprove = endorses school prayer (traditional-religion side); pairs with Engel v. Vitale.,traditional_morality_and_social_order,US-1962-ENGEL,1974,2024,27
gss_natrace,gss,natrace,gss:natrace,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. Are we spending too much money, too little money, or about the right amount on improving the conditions of Black Americans?",Too little|About right|Too much,Too little,National-spending frame on race.,moral_universalism_equal_citizenship,US-1964-CIVIL-RIGHTS-ACT|US-1991-CIVIL-RIGHTS-ACT,1973,2024,34
gss_helpblk,gss,helpblk,gss:helpblk,Some people think that Black Americans have been discriminated against for so long that the government has a special obligation to help improve their living standards; others believe that the government should not be giving special treatment to Black Americans. Where would you place yourself?,The government should help|I agree with both positions|No special treatment,The government should help,"5-pt scale; model sees the 3 labeled anchors. Truth: focal side = {1,2}, denominator = all 5 points (unlabeled 2/4 folded to their side of the midpoint).",economic_security_redistribution,US-1964-CIVIL-RIGHTS-ACT,1975,2024,26
gss_busing,gss,busing,gss:busing,"In general, do you favor or oppose the busing of Black and white school children from one school district to another?",Favor|Oppose,Favor,"Low-support item (unpopular-policy tracking), 1972-1996 only.",moral_universalism_equal_citizenship,US-1964-CIVIL-RIGHTS-ACT,1972,1996,17
gss_natfare,gss,natfare,gss:natfare,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. Are we spending too much money, too little money, or about the right amount on welfare?",Too little|About right|Too much,Too much,NON-MONOTONE: 'too much' peaks mid-1990s at PRWORA.,economic_security_redistribution,US-1996-PRWORA,1973,2024,34
gss_helpsick,gss,helpsick,gss:helpsick,Some people think that it is the responsibility of the government in Washington to help people pay for doctor and hospital bills; others think that these matters are not the responsibility of the federal government and that people should take care of these things themselves. Where would you place yourself?,The government should help|I agree with both positions|People should take care of these things themselves,The government should help,"5-pt scale, same anchor treatment as helpblk. Pairs with Medicare/ACA.",economic_security_redistribution,US-1965-MEDICARE-MEDICAID|US-2010-ACA,1975,2024,26
gss_natenvir,gss,natenvir,gss:natenvir,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. Are we spending too much money, too little money, or about the right amount on improving and protecting the environment?",Too little|About right|Too much,Too little,Environmental spending.,environmental_stewardship,US-1970-CLEAN-AIR|US-1990-CLEAN-AIR-AMEND,1973,2024,34
gss_letin1a,gss,letin1a,gss:letin1a,"Do you think the number of immigrants to America nowadays should be increased a lot, increased a little, remain the same as it is, reduced a little, or reduced a lot?",Increased a lot|Increased a little|Remain the same as it is|Reduced a little|Reduced a lot,Increased a lot + Increased a little,Focal = the two 'increased' options summed. Short window (2004-2024).,national_solidarity_and_foreign_policy,US-1965-HART-CELLER|US-1990-IMMIGRATION-ACT,2004,2024,11
gallup_1062,gallup,1062,gallup:4:1062,"Do you think the use of marijuana should be made legal, or not?","Yes, legal|No, not legal","Yes, legal",Marijuana legalization (2000-2025); pairs with the Controlled Substances Act.,traditional_morality_and_social_order,US-1970-CSA,2000,2025,18
gss_conlegis,gss,conlegis,gss:conlegis,"As far as the people running Congress are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?",A great deal|Only some|Hardly any,A great deal,Cross-cutting trust in government.,government_trust_capacity,cross_cutting_trust,1973,2024,33
gallup_1092,gallup,1092,gallup:4:1092,"Please tell me how much confidence you, yourself, have in the U.S. Supreme Court — a great deal, quite a lot, some, or very little?",A great deal|Quite a lot|Some|Very little,A great deal + Quite a lot,"Longest series in the pilot (1973-2025). Focal = top-two confidence, Gallup's own headline metric.",government_trust_capacity,cross_cutting_trust,1973,2025,46
gss_eqwlth,gss,eqwlth,gss:eqwlth,"Some people think that the government in Washington ought to reduce the income differences between the rich and the poor, perhaps by raising the taxes of wealthy families or by giving income assistance to the poor. Others think that the government should not concern itself with reducing this income difference between the rich and the poor. Which position comes closer to the way you feel?",The government should reduce income differences|The government should not concern itself with reducing income differences,The government should reduce income differences,"7-pt scale; model sees the two labeled ends. Truth: focal side = {1,2,3}, denominator = all 7 points.",economic_security_redistribution,US-1996-PRWORA,1978,2024,27
