event_id,domain,event_year,institution,event_type,policy_or_case,adoption_object,attitude_axis,benchmark_question,predicted_time_profile,source_url,notes
US-1968-TERRY,criminal_procedure_policing,1968,Supreme Court,judicial_mixed,Terry v. Ohio,Permit stop-and-frisk based on reasonable suspicion rather than probable cause,policing; street crime; privacy; public order,Should police be allowed to briefly stop and frisk people based on reasonable suspicion for officer safety?,More plausible with 1960s crime/public-order concern; contested by civil-liberties and racial-justice frames,https://supreme.justia.com/cases/federal/us/392/1/,Adds rights-limiting criminal procedure case.
US-1969-BRANDENBURG,speech,1969,Supreme Court,judicial_adoption,Brandenburg v. Ohio,Protect inflammatory advocacy absent imminent lawless action,radical speech; public order; First Amendment,Should extremist political advocacy be protected unless directed to inciting imminent lawless action?,Likely weak in Red Scare periods; high in late 1960s speech jurisprudence,https://supreme.justia.com/cases/federal/us/395/444/,Speech-libertarian benchmark.
US-1969-NEPA,environment,1969,Congress,adoption,National Environmental Policy Act,Require environmental impact review for major federal actions,environment; planning; procedural regulation,Should federal agencies have to assess environmental impacts before major actions?,Low in 1930-1950; rising in 1960s environmentalism; high by 1970,https://www.epa.gov/laws-regulations/summary-national-environmental-policy-act,Environmental procedural-state benchmark.
US-1969-TINKER,speech_schools,1969,Supreme Court,judicial_adoption,Tinker v. Des Moines,Protect student political speech in public schools,youth protest; schools; free expression,Should students be allowed to wear antiwar armbands absent material disruption?,Low in 1930-1950; higher in 1960s youth-rights context; contested after 1980s,https://supreme.justia.com/cases/federal/us/393/503/,Good Vietnam-era social-values probe.
US-1970-CLEAN-AIR,environment,1970,Congress,adoption,Clean Air Act Amendments of 1970,Create modern federal air-pollution regulatory structure and NAAQS,environment; public health; expert regulation,Should federal law impose national air-quality standards and empower EPA to regulate pollution sources?,Low in 1930; rising by 1960s; high by 1970,https://www.epa.gov/clean-air-act-overview/clean-air-act-requirements-and-history,Core environmental benchmark.
US-1970-CSA,drug_policy,1970,Congress,adoption,Controlled Substances Act,Create federal drug scheduling and enforcement framework,drugs; public health; punishment; federal police power,Should federal law schedule controlled substances and criminalize unauthorized manufacture distribution and possession?,Rises in 1960s-1970s law-and-order and drug-control context; later contested,https://www.dea.gov/drug-information/csa,Important for drug-war trajectory.
US-1970-OSHA,labor_health,1970,Congress,adoption,Occupational Safety and Health Act,Create OSHA and national workplace safety standards,worker safety; expert regulation; employer duties,Should federal law set and enforce workplace safety and health standards?,Low in 1930; rising through labor/consumer movements; high by 1970,https://www.osha.gov/osha50,Workplace regulatory-state benchmark.
US-1971-26TH,democracy_youth,1971,constitutional_amendment,adoption,Twenty-sixth Amendment,Lower voting age to 18 nationwide,youth citizenship; war; democracy,Should 18-year-olds have the constitutional right to vote?,Low in 1930; rising with WWII/Korea/Vietnam age-of-service arguments; high by 1971,https://www.reaganlibrary.gov/constitutional-amendments-amendment-26-voting-age-eighteen,Clear youth-attitude probe.
US-1971-FECA,campaign_finance,1971,Congress,adoption,Federal Election Campaign Act of 1971 and 1974 amendments,Regulate federal campaign contributions expenditures disclosure and public financing,campaign finance; corruption; transparency; political equality,Should federal law impose disclosure contribution limits and public-financing rules on federal campaigns?,Low before modern campaign-media costs; rising after television politics and Watergate-era reform,https://www.fec.gov/legal-resources/court-cases/buckley-v-valeo/,Adoption pair for Buckley.
US-1971-LEMON,religion,1971,Supreme Court,judicial_adoption,Lemon v. Kurtzman,Apply strict Establishment Clause test to state aid for religious schools,church-state separation; education; pluralism,Should public aid to religious-school teachers be invalidated under an anti-entanglement rule?,Low in 1930-1950; high in 1970s separationist doctrine; declines by 2000s-2020s,https://supreme.justia.com/cases/federal/us/403/602/,Nonmonotone doctrine benchmark.
US-1971-PENTAGON-PAPERS,speech_security,1971,Supreme Court,judicial_adoption,New York Times Co. v. United States,Reject prior restraint against publishing Pentagon Papers,press freedom; national security; Vietnam,Should the government be barred from prior restraint of classified war-history publication absent extraordinary proof?,Weak in wartime-security eras; high after Vietnam press-skepticism,https://supreme.justia.com/cases/federal/us/403/713/,Security vs press benchmark.
US-1972-CLEAN-WATER,environment,1972,Congress,adoption,Clean Water Act Amendments,Regulate pollutant discharges and create permit system,environment; water quality; industrial regulation,Should federal law require permits for pollutant discharges into navigable waters?,Low in 1930; rising by 1960s; high by 1972,https://www.epa.gov/laws-regulations/history-clean-water-act,Core environmental benchmark.
US-1972-FURMAN,criminal_justice,1972,Supreme Court,judicial_invalidation,Furman v. Georgia,Invalidate existing death-penalty schemes as arbitrary,punishment; race; procedural fairness,Should existing death-penalty statutes be unconstitutional because of arbitrary application?,Low in 1930-1950; higher in rights era; partially reversed by 1976,https://supreme.justia.com/cases/federal/us/408/238/,Nonmonotone court policy.
US-1972-TITLE-IX,gender_education,1972,Congress,adoption,Title IX of Education Amendments,Prohibit sex discrimination in federally funded education,gender equality; education; federal enforcement,Should federally funded schools and colleges be barred from sex discrimination?,Low in 1930; rising in 1960s feminism; high by 1970s,https://www.hhs.gov/civil-rights/for-individuals/sex-discrimination/title-ix-education-amendments/index.html,Gender-rights flagship.
US-1972-YODER,religion_education,1972,Supreme Court,judicial_adoption,Wisconsin v. Yoder,Exempt Amish parents from compulsory schooling beyond eighth grade,religious liberty; parental authority; education,Should religious parents be exempt from compulsory high-school attendance requirements?,Potentially medium across periods; stronger with free-exercise framing,https://supreme.justia.com/cases/federal/us/406/205/,Useful because not simply progressive/rights-expansion.
US-1973-ESA,environment,1973,Congress,adoption,Endangered Species Act,Protect listed species and critical habitat with strong federal duties,environment; biodiversity; property limits,Should federal law strongly protect endangered species even when development is restricted?,Low in 1930-1950; rising environmentalism by 1970s; contested after 1980s,https://www.fws.gov/law/endangered-species-act,Strong land-use/regulatory benchmark.
US-1973-REHABILITATION,disability_rights,1973,Congress,adoption,Rehabilitation Act of 1973,Prohibit disability discrimination in federally funded programs and federal employment contexts,disability; civil rights; accommodation; federal funding,Should programs receiving federal funds be barred from discriminating on the basis of disability?,Low in 1930-1950 charity/medical frames; rising in rights era; high by 1970s,https://www.ed.gov/laws-and-policy/individuals-disabilities/section-504,Pre-ADA disability-rights anchor.
US-1973-RODRIGUEZ,education_equality,1973,Supreme Court,judicial_invalidation,San Antonio Independent School District v. Rodriguez,Reject federal equal-protection challenge to unequal school financing,education equality; poverty; federalism; local finance,Should unequal local school-finance systems be treated as unconstitutional under federal equal protection?,More plausible in late Warren/early rights-expansion climate; rejected as Burger Court retrenchment develops,https://www.oyez.org/cases/1972/71-1332,Important education-equality limit.
US-1973-ROE,privacy_family,1973,Supreme Court,judicial_adoption,Roe v. Wade,Recognize constitutional abortion right under trimester framework,abortion; privacy; gender; morality,Should the Constitution protect abortion access before viability from broad state prohibition?,Very low in 1930; rising by 1960s-1970s; later polarizes and reverses in 2022,https://supreme.justia.com/cases/federal/us/410/113/,High-value reversal benchmark.
US-1973-WAR-POWERS,executive_power_security,1973,Congress,adoption,War Powers Resolution,Require presidential consultation and reporting for military action and impose time limits absent authorization,Vietnam; executive power; congressional war powers; accountability,Should Congress impose statutory limits and reporting requirements on unilateral presidential military deployments?,Low during WWII/early Cold War executive deference; high after Vietnam,https://www.congress.gov/bill/93rd-congress/house-joint-resolution/653,Major executive-power backlash event.
US-1974-ECOA,credit_civil_rights,1974,Congress,adoption,Equal Credit Opportunity Act,Prohibit creditor discrimination on race sex marital status age and related grounds,gender; race; credit markets; consumer protection,Should lenders be barred from discriminating in credit decisions based on sex marital status race age or similar traits?,Low in 1930-1950 household-credit norms; rising after civil-rights and feminist movements,https://www.consumerfinance.gov/rules-policy/regulations/1002/,Important credit-market civil-rights row.
US-1974-ERISA,labor_benefits,1974,Congress,adoption,Employee Retirement Income Security Act,Regulate private pension and benefit plans,worker security; private welfare state; fiduciary regulation,Should federal law set fiduciary and funding standards for employer pension plans?,Low in 1930; higher as private benefits mature postwar; high by 1970s,https://www.dol.gov/general/topic/retirement/erisa,Technical but important social-policy benchmark.
US-1974-MILLIKEN,civil_rights_education,1974,Supreme Court,judicial_invalidation,Milliken v. Bradley,Limit interdistrict school-desegregation remedies absent interdistrict violation,school desegregation; local control; race; suburban boundaries,Should courts impose metropolitan-wide school desegregation remedies across district lines without proving each district violated the Constitution?,More plausible after Brown and busing remedies; declines with 1970s desegregation backlash/local-control concerns,https://www.oyez.org/cases/1973/73-434,Important rights-retrenchment pair for Brown.
US-1974-PRIVACY-ACT,privacy_governance,1974,Congress,adoption,Privacy Act of 1974,Regulate federal agency records about individuals,privacy; databases; administrative accountability,Should individuals have rights to access correct and limit disclosure of federal personal records?,Low before computerization/Watergate; high by 1970s,https://www.justice.gov/opcl/overview-privacy-act-1974-2020-edition,Bridge to data/privacy policy.
US-1975-IDEA,disability_education,1975,Congress,adoption,Education for All Handicapped Children Act,Guarantee free appropriate public education for children with disabilities,disability; education; inclusion; federal mandates,Should federal law require public schools to provide appropriate education to children with disabilities?,Low before disability-rights mobilization; rising by 1970s rights and education reform,https://sites.ed.gov/idea/about-idea/,Renamed IDEA in 1990; pre-ADA disability education anchor.
