item_id,source,source_question_id,question_uid,question_text,answer_options,focal_answer,value_construct,paired_event_ids,question_type,n_years,y0,y1
gallup_1_242,gallup,242,gallup:1:242,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. In the last seven days, you have worried about money.- Gallup-Sharecare",1. Strongly disagree|5. Strongly agree|3|4|2,1. Strongly disagree,,,categorical,3,2013,2015
gallup_1_243,gallup,243,gallup:1:243,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. In the last seven days, you have felt active and productive every day.- Gallup-Sharecare",5. Strongly agree|4|3|2|1. Strongly disagree,5. Strongly agree,,,categorical,3,2013,2015
gallup_1_244,gallup,244,gallup:1:244,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. Your physical health is near-perfect.- Gallup-Sharecare",4|3|5. Strongly agree|2|1. Strongly disagree,4,,,categorical,3,2013,2015
gallup_1_245,gallup,245,gallup:1:245,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. The city or area where you live is a perfect place for you.- Gallup-Sharecare",5. Strongly agree|4|3|2|1. Strongly disagree,5. Strongly agree,,,categorical,3,2013,2015
gallup_1_246,gallup,246,gallup:1:246,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. In the last 12 months, you have received recognition for helping to improve the city or area where you live.- Gallup-Sharecare",1. Strongly disagree|3|2|4|5. Strongly agree,1. Strongly disagree,,,categorical,3,2013,2015
gallup_1_247,gallup,247,gallup:1:247,Could you tell me what your religion is?,Christian|Secular/Non-religious|Judaism|Islam|Buddhism|Hinduism,Christian,,,categorical,12,2008,2020
gallup_1_248,gallup,248,gallup:1:248,Children under 15 years of age now living in your household,No|Yes,No,,,binary,14,2006,2020
gallup_1_25,gallup,25,gallup:1:25,"In this country, do you have confidence in each of the following, or not? How about judicial system and courts?",Yes|No,Yes,,,binary,15,2006,2020
gallup_1_251,gallup,251,gallup:1:251,A component of well-being that includes liking what you do each day and being motivated to achieve your goals.- Gallup-Sharecare,Struggling|Thriving|Suffering,Struggling,,,categorical,3,2013,2015
gallup_1_252,gallup,252,gallup:1:252,A component of well-being that includes having supportive relationships and love in your life.- Gallup-Sharecare,Struggling|Thriving|Suffering,Struggling,,,categorical,3,2013,2015
gallup_1_253,gallup,253,gallup:1:253,A component of well-being that includes managing your economic life to reduce stress and increase security.- Gallup-Sharecare,Thriving|Struggling|Suffering,Thriving,,,categorical,3,2013,2015
gallup_1_254,gallup,254,gallup:1:254,"A component of well-being that includes liking where you live, feeling safe and having pride in your community- Gallup-Sharecare",Struggling|Thriving|Suffering,Struggling,,,categorical,3,2013,2015
gallup_1_255,gallup,255,gallup:1:255,A component of well-being that includes having good health and enough energy to get things done daily.- Gallup-Sharecare,Struggling|Thriving|Suffering,Struggling,,,categorical,3,2013,2015
gallup_1_26,gallup,26,gallup:1:26,"In this country, do you have confidence in each of the following, or not? How about honesty of elections?",No|Yes,No,,,binary,15,2006,2020
gallup_1_27,gallup,27,gallup:1:27,"In this country, do you have confidence in each of the following, or not? How about financial institutions or banks?",Yes|No,Yes,,,binary,15,2006,2020
gallup_1_28,gallup,28,gallup:1:28,"In the city or area where you live, are you satisfied or dissatisfied with the educational system or the schools?",Satisfied|Dissatisfied,Satisfied,,,binary,15,2006,2020
gallup_1_29,gallup,29,gallup:1:29,"Do you believe that children in this country are treated with respect and dignity, or not?",Yes|No,Yes,,,binary,15,2006,2020
gallup_1_296,gallup,296,gallup:1:296,Do you have a landline telephone in your home that you use to make and receive personal calls? (Total Sample),No|Yes,No,,,binary,7,2014,2020
gallup_1_297,gallup,297,gallup:1:297,Do you have a mobile phone that you use to make and receive personal calls? (Total Sample),Yes|No,Yes,,,binary,6,2015,2020
gallup_1_30,gallup,30,gallup:1:30,Do most children in this country have the opportunity to learn and grow every day?,Yes|No,Yes,,,binary,15,2006,2020
gallup_1_31,gallup,31,gallup:1:31,Does your home have access to the Internet?,Yes|No,Yes,,,binary,9,2007,2015
gallup_1_32,gallup,32,gallup:1:32,Does your home have a landline telephone?,Yes|No,Yes,,,binary,8,2006,2013
gallup_1_33,gallup,33,gallup:1:33,Does your home have a cellular phone?,Yes|No,Yes,,,binary,8,2007,2014
gallup_1_34,gallup,34,gallup:1:34,Does your home have a television?,Yes|No,Yes,,,binary,9,2007,2015
gallup_1_345,gallup,345,gallup:1:345,Per Capita income quintiles,Richest 20%|Fourth 20%|Second 20%|Middle 20%|Poorest 20%,Richest 20%,,,categorical,12,2009,2020
gallup_1_347,gallup,347,gallup:1:347,"Do you have access to the Internet in any way, whether on a mobile phone, a computer, or some other device?",Yes|No,Yes,,,binary,5,2016,2020
gallup_1_348,gallup,348,gallup:1:348,"In this country, do you have confidence in each of the following, or not? How about religious organizations (churches, mosques, temples, etc.)?",Yes|No,Yes,,,binary,7,2006,2012
gallup_1_349,gallup,349,gallup:1:349,Do you approve or disapprove of the way the leader/head/President of this country is handling his/her job as leader/head/President?,Disapprove|Approve,Disapprove,,,binary,9,2012,2020
gallup_1_35,gallup,35,gallup:1:35,"Is corruption widespread throughout the government in this country, or not?",Yes|No,Yes,,,binary,15,2006,2020
gallup_1_36,gallup,36,gallup:1:36,"Is corruption widespread within businesses located in this country, or not?",Yes|No,Yes,,,binary,15,2006,2020
gallup_1_37,gallup,37,gallup:1:37,"Thinking about the job situation in the city or area where you live today, would you say that it is now a good time or a bad time to find a job?",Bad time|Good time,Bad time,,,binary,14,2007,2020
gallup_1_38,gallup,38,gallup:1:38,"Right now, do you think that economic conditions in the city or area where you live, as a whole, are getting better or getting worse?",Getting better|Getting worse|(The same) [Do not read],Getting better,,,categorical,14,2007,2020
gallup_1_39,gallup,39,gallup:1:39,"How would you rate economic conditions in this country today -- as excellent, good, only fair, or poor?",Only fair|Poor|Good|Excellent,Only fair,,,categorical,5,2012,2016
gallup_1_4,gallup,4,gallup:1:4,Gender,Female|Male,Female,,,binary,15,2006,2020
gallup_1_40,gallup,40,gallup:1:40,"Right now, do you think that economic conditions in this country, as a whole, are getting better or getting worse?",Getting worse|Getting better|(The same) [Do not read],Getting worse,,,categorical,9,2006,2016
gallup_1_401,gallup,401,gallup:1:401,"How much do you, personally, know about science? Do you know a lot, some, not much, or nothing at all?- [Source: Wellcome Global Monitor]",Some|A lot|Not much|Nothing at all,Some,,,categorical,2,2018,2020
gallup_1_402,gallup,402,gallup:1:402,"On this survey, when I say 'science' I mean the understanding we have about the world from observation and testing. When I say 'scientists' I mean people who study the planet Earth, nature and medicine, among other things. How much did you understand the meaning of 'science' and 'scientists' that was just read? Did you understand ALL of it, SOME of it, NOT MUCH of it, or NONE of it?- [Source: Wellcome Global Monitor]",All of it|Some of it|Not much of it|None of it,All of it,,,categorical,2,2018,2020
gallup_1_414,gallup,414,gallup:1:414,"How much do you trust each of the following? Do you trust them a lot, some, not much, or not at all? If you don't know, please just say so. How about __________? The people in your neighborhood- [Source: Wellcome Global Monitor]",Some|A lot|Not much|Not at all,Some,,,categorical,2,2018,2020
gallup_1_415,gallup,415,gallup:1:415,"How much do you trust each of the following? Do you trust them a lot, some, not much, or not at all? If you don't know, please just say so. How about __________? The national government in this country- [Source: Wellcome Global Monitor]",Some|Not much|Not at all|A lot,Some,,,categorical,2,2018,2020
gallup_1_416,gallup,416,gallup:1:416,"How much do you trust each of the following? Do you trust them a lot, some, not much, or not at all? If you don't know, please just say so. How about __________? Scientists in this country- [Source: Wellcome Global Monitor]",A lot|Some|Not much|Not at all,A lot,,,categorical,2,2018,2020
gallup_1_417,gallup,417,gallup:1:417,"How much do you trust each of the following? Do you trust them a lot, some, not much, or not at all? If you don't know, please just say so. How about __________? Journalists in this country- [Source: Wellcome Global Monitor]",Some|Not much|Not at all|A lot,Some,,,categorical,2,2018,2020
gallup_1_418,gallup,418,gallup:1:418,"How much do you trust each of the following? Do you trust them a lot, some, not much, or not at all? If you don't know, please just say so. How about __________? Doctors and nurses in this country- [Source: Wellcome Global Monitor]",A lot|Some|Not much|Not at all,A lot,,,categorical,2,2018,2020
gallup_1_419,gallup,419,gallup:1:419,"How much do you trust each of the following? Do you trust them a lot, some, not much, or not at all? If you don't know, please just say so. How about __________? People who work at charitable organizations or NGOs in this country- [Source: Wellcome Global Monitor]",Some|A lot|Not much|Not at all,Some,,,categorical,2,2018,2020
gallup_1_420,gallup,420,gallup:1:420,"How much do you trust each of the following? Do you trust them a lot, some, not much, or not at all? If you don't know, please just say so. How about __________? Traditional healers in this country- [Source: Wellcome Global Monitor]",Some|Not much|A lot|Not at all,Some,,,categorical,2,2018,2020
gallup_1_421,gallup,421,gallup:1:421,"In general, would you say that you trust science a lot, some, not much, or not at all? If you don't know, please just say so.- [Source: Wellcome Global Monitor]",A lot|Some|Not much|Not at all,A lot,,,categorical,2,2018,2020
gallup_1_43,gallup,43,gallup:1:43,"Now, please think about yesterday, from the morning until the end of the day. Think about where you were, what you were doing, who you were with, and how you felt. Did you smile or laugh a lot yesterday?",Yes|No,Yes,,,binary,15,2006,2020
gallup_1_430,gallup,430,gallup:1:430,"Overall, do you think that science and technology will increase or decrease the number of jobs in your local area in the next five years?- [Source: Wellcome Global Monitor]",Increase|Decrease|(Neither/Have no effect),Increase,,,categorical,2,2018,2020
gallup_1_44,gallup,44,gallup:1:44,"Now, please think about yesterday, from the morning until the end of the day. Think about where you were, what you were doing, who you were with, and how you felt. Did you feel well-rested yesterday?",Yes|No,Yes,,,binary,15,2006,2020
gallup_1_45,gallup,45,gallup:1:45,"Now, please think about yesterday, from the morning until the end of the day. Think about where you were, what you were doing, who you were with, and how you felt. Were you treated with respect all day yesterday?",Yes|No,Yes,,,binary,15,2006,2020
gallup_1_46,gallup,46,gallup:1:46,"Now, please think about yesterday, from the morning until the end of the day. Think about where you were, what you were doing, who you were with, and how you felt. Did you learn or do something interesting yesterday?",Yes|No,Yes,,,binary,15,2006,2020
gallup_1_47,gallup,47,gallup:1:47,Did you experience the following feelings during a lot of the day yesterday? How about enjoyment?,Yes|No,Yes,,,binary,15,2006,2020
gallup_1_478,gallup,478,gallup:1:478,"Within the past 12 months, have you been assaulted or mugged?",No|Yes,No,,,binary,6,2015,2020
gallup_1_48,gallup,48,gallup:1:48,Did you experience the following feelings during a lot of the day yesterday? How about sadness?,No|Yes,No,,,binary,15,2006,2020
gallup_1_49,gallup,49,gallup:1:49,Did you experience the following feelings during a lot of the day yesterday? How about physical pain?,No|Yes,No,,,binary,15,2006,2020
gallup_1_5,gallup,5,gallup:1:5,The Life Evaluation Index measures respondents’ perceptions of where they stand now and in the future.,Thriving|Struggling|Suffering,Thriving,,,categorical,15,2006,2020
gallup_1_50,gallup,50,gallup:1:50,Did you experience the following feelings during a lot of the day yesterday? How about worry?,No|Yes,No,,,binary,15,2006,2020
gallup_1_51,gallup,51,gallup:1:51,Did you experience the following feelings during a lot of the day yesterday? How about anger?,No|Yes,No,,,binary,15,2006,2020
gallup_1_52,gallup,52,gallup:1:52,"In this country, are you satisfied or dissatisfied with your freedom to choose what you do with your life?",Satisfied|Dissatisfied,Satisfied,,,binary,15,2006,2020
gallup_1_53,gallup,53,gallup:1:53,"Would you say that your job is the ideal job for you, or not? (asked only of those who are employed)","Yes, it is ideal|No, it is NOT ideal","Yes, it is ideal",,,binary,3,2010,2012
gallup_1_54,gallup,54,gallup:1:54,"Right now, do you feel your standard of living is getting better or getting worse?",Getting better|Getting worse|(Do not read) (The same),Getting better,,,categorical,15,2006,2020
gallup_1_55,gallup,55,gallup:1:55,"Are you satisfied or dissatisfied with your standard of living, all the things you can buy and do?",Satisfied|Dissatisfied,Satisfied,,,binary,15,2006,2020
gallup_1_56,gallup,56,gallup:1:56,Which one of these phrases comes closest to your own feelings about your household income these days?,Living comfortably on present income|Getting by on present income|Finding it difficult on present income|Finding it very difficult on present income,Living comfortably on present income,,,categorical,14,2007,2020
gallup_1_57,gallup,57,gallup:1:57,Do you have any health problems that prevent you from doing any of the things people your age normally can do?,No|Yes,No,,,binary,15,2006,2020
gallup_1_58,gallup,58,gallup:1:58,"If you were in trouble, do you have relatives or friends you can count on to help you whenever you need them, or not?",Yes|No,Yes,,,binary,14,2006,2020
gallup_1_59,gallup,59,gallup:1:59,"In the city or area where you live, are you satisfied or dissatisfied with __________? The opportunities to meet people and make friends",Satisfied|Dissatisfied,Satisfied,,,binary,11,2010,2020
gallup_1_60,gallup,60,gallup:1:60,Have you done any of the following in the past month? How about volunteered your time to an organization?,No|Yes,No,,,binary,14,2007,2020
gallup_1_61,gallup,61,gallup:1:61,Have you done any of the following in the past month? How about donated money to a charity?,Yes|No,Yes,,,binary,14,2007,2020
gallup_1_62,gallup,62,gallup:1:62,Have you done any of the following in the past month? How about helped a stranger or someone you didn't know who needed help?,Yes|No,Yes,,,binary,14,2007,2020
gallup_1_63,gallup,63,gallup:1:63,Have you done any of the following in the past month? How about voiced your opinion to a public official?,No|Yes,No,,,binary,12,2007,2020
gallup_1_64,gallup,64,gallup:1:64,"In the next 12 months, are you likely or unlikely to move away from the city or area where you live?",Unlikely to move|Likely to move,Unlikely to move,,,binary,10,2007,2020
gallup_1_65,gallup,65,gallup:1:65,Are you satisfied or dissatisfied with the city or area where you live?,Satisfied|Dissatisfied,Satisfied,,,binary,14,2007,2020
gallup_1_66,gallup,66,gallup:1:66,"Would you recommend the city or area where you live to a friend or associate as a place to live, or not?","Yes, would recommend|No, would not recommend","Yes, would recommend",,,binary,13,2007,2020
gallup_1_68,gallup,68,gallup:1:68,Do you approve or disapprove of the job performance of the leadership of Germany?,Approve|Disapprove,Approve,,,binary,14,2006,2020
gallup_1_69,gallup,69,gallup:1:69,Do you approve or disapprove of the job performance of the leadership of China?,Disapprove|Approve,Disapprove,,,binary,13,2006,2020
gallup_1_70,gallup,70,gallup:1:70,Do you approve or disapprove of the job performance of the leadership of the following countries? The European Union.,Approve|Disapprove,Approve,,,binary,8,2008,2017
gallup_1_71,gallup,71,gallup:1:71,"Do the media in this country have a lot of freedom, or not?",Yes|No,Yes,,,binary,11,2010,2020
gallup_1_72,gallup,72,gallup:1:72,Is the city or area where you live a good place or not a good place to live for racial and ethnic minorities?,Good place|Not a good place,Good place,,,binary,14,2007,2020
gallup_1_73,gallup,73,gallup:1:73,Is the city or area where you live a good place or not a good place to live for gay or lesbian people?,Good place|Not a good place,Good place,,,binary,14,2007,2020
gallup_1_74,gallup,74,gallup:1:74,Is the city or area where you live a good place or not a good place to live for immigrants from other countries?,Good place|Not a good place,Good place,,,binary,14,2007,2020
gallup_1_75,gallup,75,gallup:1:75,Is the city or area where you live a good place or not a good place to live for people with intellectual disabilities?,Good place|Not a good place,Good place,,,binary,6,2010,2015
gallup_1_76,gallup,76,gallup:1:76,Did you experience the following feelings during a lot of the day yesterday? How about stress?,No|Yes,No,,,binary,14,2006,2020
gallup_1_77,gallup,77,gallup:1:77,Do you approve or disapprove of the job performance of the leadership of Russia?,Disapprove|Approve,Disapprove,,,binary,14,2006,2020
gallup_1_78,gallup,78,gallup:1:78,Is the city or area where you live a good place or not a good place to live for: People starting new businesses,Good place|Not a good place,Good place,,,binary,8,2011,2018
gallup_1_79,gallup,79,gallup:1:79,Is religion an important part of your daily life?,Yes|No,Yes,,,binary,15,2006,2020
gallup_1_8,gallup,8,gallup:1:8,Please tell me your age.,50+|30-49|15-29,50+,,,categorical,15,2006,2020
gallup_1_80,gallup,80,gallup:1:80,"Can people in this country get ahead by working hard, or not?",Yes|No,Yes,,,binary,13,2006,2018
gallup_1_81,gallup,81,gallup:1:81,"In this country, are you satisfied or dissatisfied with efforts to preserve the environment?",Satisfied|Dissatisfied,Satisfied,,,binary,15,2006,2020
gallup_1_82,gallup,82,gallup:1:82,"Ideally, if you had the opportunity, would you like to move PERMANENTLY to another country, or would you prefer to continue living in this country?",Like to continue living in this country|Like to move to another country,Like to continue living in this country,,,binary,12,2008,2020
gallup_1_83,gallup,83,gallup:1:83,Do you currently own a business?,No|Yes,No,,,binary,8,2011,2018
gallup_1_84,gallup,84,gallup:1:84,"In the past 12 months, did this household receive help in the form of money or goods from another individual . . . ?","Neither|Living inside this country,|Both, or|Living in another country,",Neither,,,categorical,10,2009,2018
gallup_1_85,gallup,85,gallup:1:85,"In the past 12 months, did this household send help in the form of money or goods to another individual...?","Neither|Living inside this country,|Both, or|Living in another country,",Neither,,,categorical,7,2012,2018
gallup_1_86,gallup,86,gallup:1:86,Respondents fall into one of six categories of employment based on a combination of answers to a series of questions about employment.,Employed full time for an employer|Out of workforce|Employed part time do not want full time|Employed part time want full time|Unemployed|Employed full time for self,Employed full time for an employer,,,categorical,12,2009,2020
gallup_1_9,gallup,9,gallup:1:9,What is your current marital status?,Married|Not Married,Married,,,binary,15,2006,2020
gallup_3_100,gallup,100,gallup:3:100,Presidential Approval,Do not approve|Approve,Do not approve,,,binary,10,2009,2018
gallup_3_101,gallup,101,gallup:3:101,Monthly Household Income,"<$3,000 per month|$3,000 - <$7500 per month|$7500+ per month","<$3,000 per month",,,categorical,9,2008,2016
gallup_3_104,gallup,104,gallup:3:104,What is your current marital status?,Married|Not Married,Married,,,binary,9,2008,2016
gallup_3_105,gallup,105,gallup:3:105,Do you smoke?- Gallup-Sharecare,No|Yes,No,,,binary,10,2008,2017
gallup_3_108,gallup,108,gallup:3:108,Do you have health insurance coverage?- Gallup-Sharecare,Yes|No,Yes,,,binary,10,2008,2017
gallup_3_109,gallup,109,gallup:3:109,"Do you currently help care for an elderly or disabled family member, relative, or friend, or not?- Gallup-Sharecare",No|Yes,No,,,binary,9,2008,2016
gallup_3_111,gallup,111,gallup:3:111,"Would you say your own health, in general, is …?- Gallup-Sharecare","Very good|Good|Excellent|Fair, OR|Poor",Very good,,,categorical,10,2008,2017
gallup_3_112,gallup,112,gallup:3:112,"Have you ever been told by a physician or nurse that you have any of the following, or not? High blood pressure- Gallup-Sharecare",No|Yes,No,,,binary,10,2008,2017
gallup_3_113,gallup,113,gallup:3:113,"Have you ever been told by a physician or nurse that you have any of the following, or not? High cholesterol- Gallup-Sharecare",No|Yes,No,,,binary,10,2008,2017
gallup_3_114,gallup,114,gallup:3:114,"Have you ever been told by a physician or nurse that you have any of the following, or not? Diabetes- Gallup-Sharecare",No|Yes,No,,,binary,10,2008,2017
gallup_3_115,gallup,115,gallup:3:115,"Have you ever been told by a physician or nurse that you have any of the following, or not? Depression- Gallup-Sharecare",No|Yes,No,,,binary,10,2008,2017
gallup_3_116,gallup,116,gallup:3:116,"Have you ever been told by a physician or nurse that you have any of the following, or not? Heart attack- Gallup-Sharecare",No|Yes,No,,,binary,10,2008,2017
gallup_3_117,gallup,117,gallup:3:117,"Have you ever been told by a physician or nurse that you have any of the following, or not? Asthma- Gallup-Sharecare",No|Yes,No,,,binary,9,2008,2016
gallup_3_118,gallup,118,gallup:3:118,"Have you ever been told by a physician or nurse that you have any of the following, or not? Cancer- Gallup-Sharecare",No|Yes,No,,,binary,10,2008,2017
gallup_3_119,gallup,119,gallup:3:119,"In the last 12 months, have you had any of the following, or not? Neck or back condition that caused recurring pain- Gallup-Sharecare",No|Yes,No,,,binary,6,2008,2013
gallup_3_120,gallup,120,gallup:3:120,"In the last 12 months, have you had any of the following, or not? Knee or leg condition that caused recurring pain- Gallup-Sharecare",No|Yes,No,,,binary,6,2008,2013
gallup_3_121,gallup,121,gallup:3:121,"In the last 12 months, have you had any of the following, or not? Other condition that caused recurring pain- Gallup-Sharecare",No|Yes,No,,,binary,6,2008,2013
gallup_3_122,gallup,122,gallup:3:122,Have you visited a dentist in the last 12 months?- Gallup-Sharecare,Yes|No,Yes,,,binary,10,2008,2017
gallup_3_123,gallup,123,gallup:3:123,Have there been times in the past 12 months when you did not have enough money to pay for healthcare and/or medicines that you or your family needed?- Gallup-Sharecare,No|Yes,No,,,binary,9,2008,2016
gallup_3_124,gallup,124,gallup:3:124,Did you have enough energy to get things done yesterday?- Gallup-Sharecare,Yes|No,Yes,,,binary,6,2008,2013
gallup_3_125,gallup,125,gallup:3:125,Did you eat healthy all day yesterday?- Gallup-Sharecare,Yes|No,Yes,,,binary,10,2008,2017
gallup_3_127,gallup,127,gallup:3:127,Were you sick with any of the following yesterday? The flu- Gallup-Sharecare,No|Yes,No,,,binary,9,2008,2016
gallup_3_128,gallup,128,gallup:3:128,Were you sick with any of the following yesterday? A cold- Gallup-Sharecare,No|Yes,No,,,binary,9,2008,2016
gallup_3_129,gallup,129,gallup:3:129,Were you sick with any of the following yesterday? A headache- Gallup-Sharecare,No|Yes,No,,,binary,6,2008,2013
gallup_3_130,gallup,130,gallup:3:130,"In the city or area where you live, is it easy or not easy to get clean and safe water?- Gallup-Sharecare",Easy|Not easy,Easy,,,binary,6,2008,2013
gallup_3_131,gallup,131,gallup:3:131,"In the city or area where you live, is it easy or not easy to get affordable fresh fruits and vegetables?- Gallup-Sharecare",Easy|Not easy,Easy,,,binary,6,2008,2013
gallup_3_132,gallup,132,gallup:3:132,"In the city or area where you live, is it easy or not easy to get medicine?- Gallup-Sharecare",Easy|Not easy,Easy,,,binary,9,2008,2016
gallup_3_133,gallup,133,gallup:3:133,"In the city or area where you live, is it easy or not easy to get a safe place to exercise?- Gallup-Sharecare",Easy|Not easy,Easy,,,binary,6,2008,2013
gallup_3_134,gallup,134,gallup:3:134,"How would you rate economic conditions in this country today -- as excellent, good, only fair, or poor?",Only fair|Poor|Good|Excellent,Only fair,,,categorical,10,2008,2017
gallup_3_135,gallup,135,gallup:3:135,Were you sick with any of the following yesterday? Allergies- Gallup-Sharecare,No|Yes,No,,,binary,6,2008,2013
gallup_3_136,gallup,136,gallup:3:136,"Do you agree or disagree with the following statement? ""You are watching your spending very closely.""",Agree|Disagree,Agree,,,binary,10,2009,2018
